epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,0.33637297,0.9219883889695211,0.9225672012036179,0.9219883889695211,0.9219616656800038
2,0.11764093,0.9604499274310595,0.9610814946925117,0.9604499274310595,0.9604363793447461
3,0.020886758,0.9921988388969522,0.9922875675502001,0.992198838896952,0.9921984873657765
4,0.014912531,0.9960087082728593,0.9960403167746581,0.9960087082728593,0.996008644688934
5,0.012311866,0.9960087082728593,0.9960403167746581,0.9960087082728593,0.996008644688934
6,0.0044012885,0.9985486211901307,0.9985528219971056,0.9985486211901307,0.998548618132794
7,0.0028756056,0.9987300435413643,0.9987316850703001,0.9987300435413643,0.9987300424963776
8,0.0004389874,0.9998185776487664,0.9998186434530287,0.9998185776487662,0.999818577642795
9,0.00039758085,0.9998185776487664,0.9998186434530287,0.9998185776487662,0.999818577642795
10,0.0015590892,0.9989114658925979,0.998913830557567,0.9989114658925979,0.9989114646027853
