epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,0.09836868,0.9677068214804064,0.9690230809245044,0.9677068214804063,0.9676841487985769
2,0.06301409,0.9809506531204645,0.9811027329291524,0.9809506531204645,0.9809491475948298
3,0.053632934,0.9833091436865021,0.9833091436865021,0.9833091436865021,0.9833091436865021
4,0.047002263,0.9854862119013063,0.9854954161681189,0.9854862119013061,0.9854861431110526
5,0.047778178,0.9840348330914369,0.9840779158536168,0.9840348330914368,0.9840344778599902
6,0.05279672,0.9796806966618288,0.9799081551793903,0.9796806966618288,0.9796782887290449
7,0.04576556,0.9851233671988389,0.985125666513067,0.9851233671988389,0.9851233495713991
8,0.049040068,0.9842162554426706,0.9843132387808031,0.9842162554426706,0.9842154652325596
9,0.05243066,0.9829462989840348,0.98319083545539,0.9829462989840348,0.9829441410480508
10,0.045297086,0.9854862119013063,0.9854926037162317,0.9854862119013063,0.9854861641303658
