epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,0.2769914,0.8994555353901996,0.9000255831446262,0.8994555353901996,0.8994197029491701
2,0.31170627,0.8707803992740472,0.8826894125495711,0.8707803992740473,0.8697672121116838
3,0.26244935,0.9027223230490018,0.904119645981289,0.9027223230490018,0.9026381611358608
4,0.27886474,0.8963702359346643,0.8992753623188405,0.8963702359346641,0.8961813899578862
5,0.26525256,0.9054446460980037,0.905849371232751,0.9054446460980037,0.9054210668625955
6,0.33196074,0.8551724137931035,0.875836730585334,0.8551724137931034,0.8531539351851852
7,0.26635566,0.8961887477313975,0.8998604981244837,0.8961887477313975,0.8959498856469528
8,0.2608101,0.9054446460980037,0.905562681013878,0.9054446460980037,0.9054377657525683
9,0.2620524,0.9072595281306715,0.9072638744106676,0.9072595281306715,0.9072592807007136
10,0.2527289,0.9094373865698729,0.9095280867604316,0.909437386569873,0.909432371955865
