epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1,0.23902993,0.9125226860254083,0.9136527882605618,0.9125226860254083,0.9124628980357005
2,0.23579325,0.905989110707804,0.9070402256148102,0.905989110707804,0.9059283795586758
3,0.24197002,0.9101633393829401,0.9127716232585669,0.91016333938294,0.91002119645862
4,0.22272591,0.9196007259528131,0.9197932550051775,0.9196007259528131,0.9195915065508448
5,0.2323225,0.9083484573502723,0.9103206388948022,0.9083484573502723,0.9082381954475816
6,0.2155483,0.9177858439201452,0.9186755403031677,0.9177858439201452,0.917742143900678
7,0.27948678,0.8831215970961888,0.8969383533249276,0.8831215970961888,0.8820955835053169
8,0.21424332,0.9141560798548094,0.915540168973332,0.9141560798548094,0.9140845376397334
9,0.21885617,0.9168784029038113,0.9180204375866743,0.9168784029038113,0.9168215919094415
10,0.21360655,0.923049001814882,0.9230492247649908,0.923049001814882,0.9230489916764426
